Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,processed
50,5.0,3.3,1.4,0.2,Iris-setosa,10.0
51,7.0,3.2,4.7,1.4,Iris-versicolor,14.0
52,6.4,3.2,4.5,1.5,Iris-versicolor,12.8
53,6.9,3.1,4.9,1.5,Iris-versicolor,13.8
54,5.5,2.3,4.0,1.3,Iris-versicolor,11.0
55,6.5,2.8,4.6,1.5,Iris-versicolor,13.0
56,5.7,2.8,4.5,1.3,Iris-versicolor,11.4
57,6.3,3.3,4.7,1.6,Iris-versicolor,12.6
58,4.9,2.4,3.3,1.0,Iris-versicolor,9.8
59,6.6,2.9,4.6,1.3,Iris-versicolor,13.2
60,5.2,2.7,3.9,1.4,Iris-versicolor,10.4
61,5.0,2.0,3.5,1.0,Iris-versicolor,10.0
62,5.9,3.0,4.2,1.5,Iris-versicolor,11.8
63,6.0,2.2,4.0,1.0,Iris-versicolor,12.0
64,6.1,2.9,4.7,1.4,Iris-versicolor,12.2
65,5.6,2.9,3.6,1.3,Iris-versicolor,11.2
66,6.7,3.1,4.4,1.4,Iris-versicolor,13.4
67,5.6,3.0,4.5,1.5,Iris-versicolor,11.2
68,5.8,2.7,4.1,1.0,Iris-versicolor,11.6
69,6.2,2.2,4.5,1.5,Iris-versicolor,12.4
70,5.6,2.5,3.9,1.1,Iris-versicolor,11.2
71,5.9,3.2,4.8,1.8,Iris-versicolor,11.8
72,6.1,2.8,4.0,1.3,Iris-versicolor,12.2
73,6.3,2.5,4.9,1.5,Iris-versicolor,12.6
74,6.1,2.8,4.7,1.2,Iris-versicolor,12.2
75,6.4,2.9,4.3,1.3,Iris-versicolor,12.8
76,6.6,3.0,4.4,1.4,Iris-versicolor,13.2
77,6.8,2.8,4.8,1.4,Iris-versicolor,13.6
78,6.7,3.0,5.0,1.7,Iris-versicolor,13.4
79,6.0,2.9,4.5,1.5,Iris-versicolor,12.0
80,5.7,2.6,3.5,1.0,Iris-versicolor,11.4
81,5.5,2.4,3.8,1.1,Iris-versicolor,11.0
82,5.5,2.4,3.7,1.0,Iris-versicolor,11.0
83,5.8,2.7,3.9,1.2,Iris-versicolor,11.6
84,6.0,2.7,5.1,1.6,Iris-versicolor,12.0
85,5.4,3.0,4.5,1.5,Iris-versicolor,10.8
86,6.0,3.4,4.5,1.6,Iris-versicolor,12.0
87,6.7,3.1,4.7,1.5,Iris-versicolor,13.4
88,6.3,2.3,4.4,1.3,Iris-versicolor,12.6
89,5.6,3.0,4.1,1.3,Iris-versicolor,11.2
90,5.5,2.5,4.0,1.3,Iris-versicolor,11.0
91,5.5,2.6,4.4,1.2,Iris-versicolor,11.0
92,6.1,3.0,4.6,1.4,Iris-versicolor,12.2
93,5.8,2.6,4.0,1.2,Iris-versicolor,11.6
94,5.0,2.3,3.3,1.0,Iris-versicolor,10.0
95,5.6,2.7,4.2,1.3,Iris-versicolor,11.2
96,5.7,3.0,4.2,1.2,Iris-versicolor,11.4
97,5.7,2.9,4.2,1.3,Iris-versicolor,11.4
98,6.2,2.9,4.3,1.3,Iris-versicolor,12.4
99,5.1,2.5,3.0,1.1,Iris-versicolor,10.2
100,5.7,2.8,4.1,1.3,Iris-versicolor,11.4
101,6.3,3.3,6.0,2.5,Iris-virginica,12.6
102,5.8,2.7,5.1,1.9,Iris-virginica,11.6
103,7.1,3.0,5.9,2.1,Iris-virginica,14.2
104,6.3,2.9,5.6,1.8,Iris-virginica,12.6
105,6.5,3.0,5.8,2.2,Iris-virginica,13.0
106,7.6,3.0,6.6,2.1,Iris-virginica,15.2
107,4.9,2.5,4.5,1.7,Iris-virginica,9.8
108,7.3,2.9,6.3,1.8,Iris-virginica,14.6
109,6.7,2.5,5.8,1.8,Iris-virginica,13.4
110,7.2,3.6,6.1,2.5,Iris-virginica,14.4
111,6.5,3.2,5.1,2.0,Iris-virginica,13.0
112,6.4,2.7,5.3,1.9,Iris-virginica,12.8
113,6.8,3.0,5.5,2.1,Iris-virginica,13.6
114,5.7,2.5,5.0,2.0,Iris-virginica,11.4
115,5.8,2.8,5.1,2.4,Iris-virginica,11.6
116,6.4,3.2,5.3,2.3,Iris-virginica,12.8
117,6.5,3.0,5.5,1.8,Iris-virginica,13.0
118,7.7,3.8,6.7,2.2,Iris-virginica,15.4
119,7.7,2.6,6.9,2.3,Iris-virginica,15.4
120,6.0,2.2,5.0,1.5,Iris-virginica,12.0
121,6.9,3.2,5.7,2.3,Iris-virginica,13.8
122,5.6,2.8,4.9,2.0,Iris-virginica,11.2
123,7.7,2.8,6.7,2.0,Iris-virginica,15.4
124,6.3,2.7,4.9,1.8,Iris-virginica,12.6
125,6.7,3.3,5.7,2.1,Iris-virginica,13.4
126,7.2,3.2,6.0,1.8,Iris-virginica,14.4
127,6.2,2.8,4.8,1.8,Iris-virginica,12.4
128,6.1,3.0,4.9,1.8,Iris-virginica,12.2
129,6.4,2.8,5.6,2.1,Iris-virginica,12.8
130,7.2,3.0,5.8,1.6,Iris-virginica,14.4
131,7.4,2.8,6.1,1.9,Iris-virginica,14.8
132,7.9,3.8,6.4,2.0,Iris-virginica,15.8
133,6.4,2.8,5.6,2.2,Iris-virginica,12.8
134,6.3,2.8,5.1,1.5,Iris-virginica,12.6
135,6.1,2.6,5.6,1.4,Iris-virginica,12.2
136,7.7,3.0,6.1,2.3,Iris-virginica,15.4
137,6.3,3.4,5.6,2.4,Iris-virginica,12.6
138,6.4,3.1,5.5,1.8,Iris-virginica,12.8
139,6.0,3.0,4.8,1.8,Iris-virginica,12.0
140,6.9,3.1,5.4,2.1,Iris-virginica,13.8
141,6.7,3.1,5.6,2.4,Iris-virginica,13.4
142,6.9,3.1,5.1,2.3,Iris-virginica,13.8
143,5.8,2.7,5.1,1.9,Iris-virginica,11.6
144,6.8,3.2,5.9,2.3,Iris-virginica,13.6
145,6.7,3.3,5.7,2.5,Iris-virginica,13.4
146,6.7,3.0,5.2,2.3,Iris-virginica,13.4
147,6.3,2.5,5.0,1.9,Iris-virginica,12.6
148,6.5,3.0,5.2,2.0,Iris-virginica,13.0
149,6.2,3.4,5.4,2.3,Iris-virginica,12.4
150,5.9,3.0,5.1,1.8,Iris-virginica,11.8
